"Text","Binary_Sentiment","Cont_Sentiment"
"obviously aware of the ugliness before him , director joe roth turns to goofy supporting characters like hank azaria ( as a lisping spaniard ) , christopher walken ( the insane time over time director ) , and alan arkin ( a new age guru in a fright wig ) to crack wise  none of the stereotypes is successful except for walken   azaria comes off as a preening queen when he's supposed to be macho","0.0","-12.0674800873"
"has it really been two decades since walter matthau coached the bad news bears ?","0.0","-51.5300292969"
"nineteen years and two mighty ducks later , the formula is still going strong  writer director carl franklin ( one false move ) is the force behind this accomplished but stiff adaptation of walter mosley's crime novel","0.0","-75.1590423584"
"police academy graduate steve guttenberg stars as a small town deputy sheriff corralled into co coaching the school's hastily formed soccer team","1.0","44.8578338623"
"his partner in crime is the new british   exchange teacher   ( olivia d'abo ) , a lively lass who has obviously seen dangerous minds and knows that the best way to gain the respect of a disinterested , outer city audience is to teach them something neat","0.0","-48.8500747681"
"an awfully big adventure                          the reteaming of director mike newell and star hugh grant is about as far removed as you can get from the lightsome comedy of four weddings and a funeral  hugh plays the gay director , an   extremely   unappealing character who may alienate whatever fans are left after the nonsense of nine months  they're fighting over their adoptive mother's estate , a 40 , 000 acre ranch worth millions and supporting dozens of migrant farm workers","0.0","-15.000087738"
"their second collaboration is a downbeat theatrical drama about a young intern ( georgina cates ) struggling to survive in post w","0.0","-88.1875152588"
"there are hints that this is taking its toll on his lovely wife , played by catherine keener , who is frustrated by her husband spending all of his time in cleveland rather than in their ugly split level home in harrisburg , pa","1.0","37.3844528198"
"later it's the turn of joaquin phoenix ( who's quite good and by far the film's most interesting character as adult bookstore flunky max california ) to cover his face as the horrid thing is screened over and over again","0.0","-99.9627685547"
"synopsis   sonny koufax ( adam sandler ) is a rich , childish , angry man who has just been dumped by his girlfriend vanessa ( kristy swanson )  to many american mothers there's probably nothing more pathetic and unsettling than the sight of a theater full of unsupervised little eight year olds laughing raucously as movie character father adam sandler jokes about a woman's   ice cold tits","0.0","-96.5996246338"
"synopsis   sonny koufax ( adam sandler ) is a rich , childish , angry man who has just been dumped by his girlfriend vanessa ( kristy swanson )","0.0","-90.4536895752"
"in a bid to impress vanessa sonny impersonates his friend kevin ( jon stewart ) and adopts a 5 year old boy named julian ( cole and dylan sprouse ) while kevin is on an overseas trip","0.0","-40.1882820129"
"in a bid to impress vanessa sonny impersonates his friend kevin ( jon stewart ) and adopts a 5 year old boy named julian ( cole and dylan sprouse ) while kevin is on an overseas trip","0.0","-40.1882820129"
"in a bid to impress vanessa sonny impersonates his friend kevin ( jon stewart ) and adopts a 5 year old boy named julian ( cole and dylan sprouse ) while kevin is on an overseas trip","0.0","-40.1882820129"
"philip henslowe ( geoffrey rush ) owns 1 of the 2 theatres in london  geoffrey rush is nothing short of incredible and judi dench is breathtaking","0.0","-113.842475891"
"it is at the peak of the royal theatre era , and queen elizabeth ( the recently damed judi dench , by , appropriately enough , queen elizabeth ii ) is very much a fan  geoffrey rush is nothing short of incredible and judi dench is breathtaking","0.0","-72.9361877441"
"henslowe employs the young playwright , william shakespeare ( joseph fiennes ) to pen a comedic production  joseph fiennes may just be the worst of fall though","0.0","-54.9285392761"
"then , as only hollywood could have it , through a long set of twisted events , he meets viola de lesseps ( gwyneth paltrow ) and falls madly in love , thus curing his writer's block  gwyneth paltrow is little more than satisfactory in her lead position as well","0.0","-60.0968933105"
"you will also find a very good performance by ben affleck in his first real role since good will hunting ( no , armageddon doesn't qualify as real acting","0.0","-59.6914749146"
"the caveman's valentine starring samuel l  jackson , ann magnuson , aunjanue ellis , tamara tunie screenplay by george dawes green , based on his novel directed by kasi lemmons       for more film , dvd and books about movie reviews , plus annual coverage of the toronto international film festival , visit  film freak central    http     filmfreakcentral believing at first that his imagined nemesis stuyvesant , shooting evil rays into his mind from atop the chrysler building , is responsible for the murder , romulus ( samuel l  jackson ) is put on the trail of an avant garde photographer in the mapplethorpe mould , david leppenraub ( colm feore )","1.0","26.7510147095"
"jackson , ann magnuson , aunjanue ellis , tamara tunie screenplay by george dawes green , based on his novel directed by kasi lemmons       for more film , dvd and books about movie reviews , plus annual coverage of the toronto international film festival , visit  film freak central    http     filmfreakcentral","1.0","64.1346740723"
"jackson , ann magnuson , aunjanue ellis , tamara tunie screenplay by george dawes green , based on his novel directed by kasi lemmons       for more film , dvd and books about movie reviews , plus annual coverage of the toronto international film festival , visit  film freak central    http     filmfreakcentral his minor sleuthing interrupted by the occasional delusional fit and bouts with an ecstasy of creation ( romulus was a brilliant julliard trained pianist prior to his psychosis ) , romulus uncovers clues and harasses suspects on his way to convincing his police woman daughter ( aunjanue ellis ) that even though he's a nut , that doesn't mean that he can't solve a high profile society murder","1.0","56.1292114258"
"jackson , ann magnuson , aunjanue ellis , tamara tunie screenplay by george dawes green , based on his novel directed by kasi lemmons       for more film , dvd and books about movie reviews , plus annual coverage of the toronto international film festival , visit  film freak central    http     filmfreakcentral his minor sleuthing interrupted by the occasional delusional fit and bouts with an ecstasy of creation ( romulus was a brilliant julliard trained pianist prior to his psychosis ) , romulus uncovers clues and harasses suspects on his way to convincing his police woman daughter ( aunjanue ellis ) that even though he's a nut , that doesn't mean that he can't solve a high profile society murder","1.0","56.1292114258"
"jackson , ann magnuson , aunjanue ellis , tamara tunie screenplay by george dawes green , based on his novel directed by kasi lemmons       for more film , dvd and books about movie reviews , plus annual coverage of the toronto international film festival , visit  film freak central    http     filmfreakcentral with a long vanished wife ( tamara tunie ) acting as a spiritual guide , the occasional social caste commentary , the secret base in a cave , a divergent genius personality with a network of informants and supporters , and a wickedly colourful arch enemy , the film piles on the lurid comic book details and dizzying slapdash colours to such a lavish extent that i was vaguely surprised that the blue police cars weren't inscribed with   gotham pd","1.0","54.8198890686"
"the first film produced by adam sandler's happy madison production company ( clever title eh ? )","0.0","-128.665176392"
"is essentially a one joke movie , much like the movies sandler stars in himself","0.0","-14.8391742706"
"rob schneider stars as the title character , a scruffy fish tank cleaner who ends up becoming a   man whore   to raise enough money to replace a wealthy client's custom made fish tank , which deuce destroyed while staying in his home","0.0","-62.0144996643"
"only a quick cameo from norm macdonald ( and a follow up joke during the closing credits ) generates any chuckles","1.0","10.1430988312"
"in this theatrical remake of the television series the saint , and its series sequel the return of the saint , val kilmer plays simon templar , an elusive thief who makes a living by stealing things from others for others kilmer actually provides a rather good role in this movie , although at times you are left to ponder how he actually gets out of the many tight situations as a young boy , kilmer's character enjoyed magic and would often journey away from his schoolwork kilmer's first mission that we are shown is to steal a microchip from ivan tretiak , played by rade serbedzija this presents the option for kilmer to achieve his goal one of the enjoyable features in the film is the disguises that kilmer dawns to complete his missions kilmer utilizes one such disguise to lure shue's character into getting to know him even more , which would provide him a means of stealing the energy formula when the two meet , and end up having a sensual experience , kilmer's character is seemingly falling in love with emma russell , as she is falling in love with kilmer's alter ego , a traveling artist these moments are almost always thanks to kilmer's extraneous , very convincing disguises and personalities","0.0","-47.8831176758"
"kilmer's first mission that we are shown is to steal a microchip from ivan tretiak , played by rade serbedzija","1.0","17.2940578461"
"emma russell , portrayed by elisabeth shue , has discovered a way to produce energy by way of cold fusion tretiak hires him to steal the equations , small pieces of paper , from shue kilmer utilizes one such disguise to lure shue's character into getting to know him even more , which would provide him a means of stealing the energy formula shue's character is eventually able to track down simon templar by putting the pieces ( the names of the catholic saints ) together , something no one else is able to do","0.0","-32.6948738098"
"like its predecessor , scream 2 opens with a splashy , eye grabbing prologue which only vaguely ties into the film's principal narrative   this time around , we're following the exploits of a young couple ( jada pinkett and omar epps ) attending a riotously gleeful sneak preview screening of stab ( a running film within a film gag where the   true life   events behind the first film has been turned into a movie )","0.0","-121.328338623"
"like its predecessor , scream 2 opens with a splashy , eye grabbing prologue which only vaguely ties into the film's principal narrative   this time around , we're following the exploits of a young couple ( jada pinkett and omar epps ) attending a riotously gleeful sneak preview screening of stab ( a running film within a film gag where the   true life   events behind the first film has been turned into a movie )","0.0","-121.328338623"
"however , although it tries hard and has some good ideas    the nightmarishly enthusiastic audience in the film vaguely reminded me of the one i was sharing the theatre with , and i was certainly thinking about gutting the overly noisy person a few seats away myself after about fifteen minutes    the prologue is a pale imitation of the bravura opening sequence in the original with drew barrymore ( where her performance not only convinced me that she   could   act , but was so good that it would rank among the best performances in a horror film that i've ever seen )","0.0","-47.6386184692"
"flash to the campus of a smalltown ohio college , where returning characters sidney ( neve campbell ) and randy ( jamie kennedy ) have relocated for their studies and to escape the notoriety from the events in the first film","0.0","-36.5843086243"
"flash to the campus of a smalltown ohio college , where returning characters sidney ( neve campbell ) and randy ( jamie kennedy ) have relocated for their studies and to escape the notoriety from the events in the first film","0.0","-36.5843086243"
"hugh grant , a huge dork  it's not the whole oral sex prostitution thing ( referring to grant , not me ) that bugs me , it's the fact that grant is annoying  since when do eye flutters and nervous smiles pass for acting ?","0.0","-98.2189788818"
"but , on the other hand , since when do really bad slapstick ( a fistfight in the delivery room culminating in grant's head in joan cusack's lap  a scene he paid  60 to have included in the movie ) and obscene double entendres ( robin williams , the obstetrician , tells grant's pregnant girlfriend she has   a big pussy ,   referring of course to the size of the cat hairs on her coat , but nonetheless , grant paid  60 to have the exchange included in the movie ) pass for comedy ?","0.0","-106.941665649"
"nine months is a predictable cookie cutter movie with no originality in humor or plot  hugh grant plays a successful child psychiatrist  grant ( flutters eyelashes , offers a nervous smile , then responds in his annoying english accent and i think i actually have  talent attitude )   could you possibly elaborate on that ?","0.0","-68.1588897705"
"kid   my dad's a  huge  asshole  more like a hugh asshole , but that's beside the point , which is   nine months includes too many needlessly stupid jokes that get laughs from the ten year olds in the audience while everyone else shakes his or her head in disbelief  so , anyway , grant finds out his girlfriend is pregnant and does his usual reaction ( fluttered eyelashes , nervous smiles )  this paves the way for every possible pregnancy child birth gag in the book , especially since grant's equally annoying friend's wife is also pregnant  hugh grant's sunset boulevard arrest ( please , no caught with his pants down jokes ) may bring more people into the theaters , but they certainly won't leave with a smile on their faces , not after 90 minutes of grant's nervous smiles  over 80 ( sorry , hugh ) will know they wasted their money on an unfulfilled desire","0.0","-47.3026657104"
"since when do eye flutters and nervous smiles pass for acting ?","0.0","-107.652023315"
"but , on the other hand , since when do really bad slapstick ( a fistfight in the delivery room culminating in grant's head in joan cusack's lap  a scene he paid  60 to have included in the movie ) and obscene double entendres ( robin williams , the obstetrician , tells grant's pregnant girlfriend she has   a big pussy ,   referring of course to the size of the cat hairs on her coat , but nonetheless , grant paid  60 to have the exchange included in the movie ) pass for comedy ?","0.0","-106.941665649"
"nine months is a predictable cookie cutter movie with no originality in humor or plot","0.0","-112.314483643"
"since when do eye flutters and nervous smiles pass for acting ?","0.0","-107.652023315"
"but , on the other hand , since when do really bad slapstick ( a fistfight in the delivery room culminating in grant's head in joan cusack's lap  a scene he paid  60 to have included in the movie ) and obscene double entendres ( robin williams , the obstetrician , tells grant's pregnant girlfriend she has   a big pussy ,   referring of course to the size of the cat hairs on her coat , but nonetheless , grant paid  60 to have the exchange included in the movie ) pass for comedy ?","0.0","-106.941665649"
"nine months is a predictable cookie cutter movie with no originality in humor or plot  not even robin williams , who plays a russian doctor who has recently decided to switch from veterinary medicine to obstetrics , has much humor","0.0","-73.1770858765"
"the annoying friend is played by tom arnold , who provides most of the cacophonous slapstick , none of which is funny , such as a scene where arnold beats up a costumed   arnie the dinosaur   ( you draw your own parallels on that one ) in a toy store","0.0","-9.41698074341"
"the only interesting character in the movie is played by jeff goldblum , who should have hid himself away somewhere after the dreadful hideaway , as an artist with a fear of ( and simultaneous longing for ) commitment","0.0","-96.4353485107"
"sigourney weaver is possibly the only actress who could play this character and make her realistic enough for us to care about placing a woman in these situations would sometimes seem unusual , but because of weaver's presence , a woman is the only suitable hero lieutenant ellen ripley ( weaver ) is discovered in hypersleep on the nostromo and is awakened sigourney weaver received an oscar nomination for her portrayal of ripley , incorporating the right amount of sympathy into her hard edged persona weaver soars above the rest in this film , but she is supposed to","0.0","-12.0290870667"
"this team includes a buff private vasquez ( jenette goldstein ) , a questionable corporal hicks ( michael biehn ) , and a loyal android bishop ( lance henriksen ) jenette goldstein shows a fair amount of enthusiasm with her role , and steals several scenes of her own ( though her personality becomes slightly annoying when she isn't fighting )","0.0","-54.7399902344"
"this team includes a buff private vasquez ( jenette goldstein ) , a questionable corporal hicks ( michael biehn ) , and a loyal android bishop ( lance henriksen ) michael biehn gives a very nice performance in the most obligatory role of the film however , biehn does a good job , making it seem original again","0.0","-13.1567287445"
"this team includes a buff private vasquez ( jenette goldstein ) , a questionable corporal hicks ( michael biehn ) , and a loyal android bishop ( lance henriksen ) lance henriksen is terrific as bishop , showing that androids don't always have to be flat characters","0.0","-22.1299667358"
"the only survivor is 12 year old rebecca   newt   jorden ( carrie henn ) carrie henn gives an above average performance for a child , developing a three dimensional character from her quiet attitude","0.0","-45.7499847412"
"the main one is jill young ( poor charlize theron , forced to waste her talent ) , a lover of gorillas","0.0","-113.510757446"
"soon , zoologist gregg o'hara ( bill paxton ) discovers joe   he quickly realizes that poachers want to get joe and sell him to a big game hunter named strasser ( rade sherbedgia ) , who just happens to be the same guy who killed jill's mother","0.0","-116.55796814"
"the introduction of the wise guy angle and the loyality among buddies bit , are not moving enough emotional experiences or intelligent enough dramatics to elevate this film above its limited story line despite the tour de force performance by the star of the film , adrien brody as ray  there was just no energy or spark or anything relevant in this superficial film to keep it interesting , though adrien brody showed signs that he could be a future star","0.0","-39.1673431396"
"( vincent ) is now trying to make a go of it by running a small scale home repair business","0.0","-28.2203636169"
"his son lives with him and works unhappily as a shoe salesman , dreaming of getting rich quickly so he can open a business and marry his long time waitress girlfriend joanne ( sybil )","0.0","-68.8827362061"
"so when his best friend mike ( gallagher ) , the narrator of the film , gets a chance to sleep with his girlfriend  who cares ?","0.0","-60.1146240234"
"the director must be kidding himself if he thinks we do","0.0","-32.0539550781"
"his buddies , the college student mike and the dependable butchie ( gillan ) , and his old man , who he has this love hate relationship with , rally to his aid","0.0","-67.7951812744"
"close your eyes for a moment , if you will , and imagine the sound of stephen rea's gaelic brogue , silky smooth and irish like a pint of guinness neil jordan's latest film   stars   rea in more ways than one rea , the accomplished irish actor most notable from his star turn in jordan's   the crying game ,   contributes a restrained and managed performance as da brady , a small town drunk in an unnamed irish community in the 1960s but it's his wall to wall narration as the butcher boy of the title , da brady's son , francis , that makes rea's   performance   worth watching , worth listening to for as much as rea's voiceover permeates almost every scene of   the butcher boy ,   owens commands virtually every frame now , she poses as much a threat to the safety and security of town bully francie and his best pal joe ( alan boyle ) as the looming commie menace (   the butcher boy   is set at a time when the fear of nuclear obliteration is first and foremost in the minds of many )    pigs !","1.0","55.7118110657"
"screams mrs director jordan's vivid treatment of pat mccabe's nightmare novel produces a sometimes disturbing , dark comedy littered with surreal touches ( such as sin ?","1.0","46.043838501"
"ad o'connor playing the virgin mary ) it's not as outlandish as the trailers make out   instead , this remarkable film focuses on the effects external influences have on the friendship between two boys ( schoolboy chums in real life ) , allowing us to empathize with their plight in the presence of extraordinary behavior rea talks us through it , beautifully , and owens drags us though it , admirably , and , in tandem with jordan's sure hand , theirs are contributions to make   the butcher boy   a film worth savoring","0.0","-53.7511520386"
"playing the young francie brady is newcomer eamonn owens and he is , without a doubt , a revelation for as much as rea's voiceover permeates almost every scene of   the butcher boy ,   owens commands virtually every frame rea talks us through it , beautifully , and owens drags us though it , admirably , and , in tandem with jordan's sure hand , theirs are contributions to make   the butcher boy   a film worth savoring","0.0","-28.3479576111"
"nugent ( fiona shaw )","0.0","-35.7571411133"
"now , she poses as much a threat to the safety and security of town bully francie and his best pal joe ( alan boyle ) as the looming commie menace (   the butcher boy   is set at a time when the fear of nuclear obliteration is first and foremost in the minds of many )","0.0","-22.4385490417"
"this film was produced just before the distracting concept of using celebrity voices became in vogue , which started to a certain degree with beauty and the beast and was irrevocably exacerbated by robin williams' much heralded turn in aladdin   by the release of the lion king and henceforth , the majority of characters in the animated films were voiced by celebrities","0.0","-50.8448791504"
"while it's understandable that animated features lacking the name recognition or drawing power of disney ( say , balto's use of kevin bacon and bridget fonda , or even anastasia's showcasing of meg ryan and john cusack ) would be forced to turn to this strategy in order to hype their products , it's unfortunate that even disney has embraced this policy","0.0","-51.0737457275"
"while it's understandable that animated features lacking the name recognition or drawing power of disney ( say , balto's use of kevin bacon and bridget fonda , or even anastasia's showcasing of meg ryan and john cusack ) would be forced to turn to this strategy in order to hype their products , it's unfortunate that even disney has embraced this policy","0.0","-51.0737457275"
"while it's understandable that animated features lacking the name recognition or drawing power of disney ( say , balto's use of kevin bacon and bridget fonda , or even anastasia's showcasing of meg ryan and john cusack ) would be forced to turn to this strategy in order to hype their products , it's unfortunate that even disney has embraced this policy","0.0","-51.0737457275"
"while it's understandable that animated features lacking the name recognition or drawing power of disney ( say , balto's use of kevin bacon and bridget fonda , or even anastasia's showcasing of meg ryan and john cusack ) would be forced to turn to this strategy in order to hype their products , it's unfortunate that even disney has embraced this policy","0.0","-51.0737457275"
"hammerbottom ( carol burnett ) to allow louie to attend class","0.0","-32.9825210571"
"dazed , a beautiful brunette ( laura elena harring ) emerges and stumbles down a hill , slipping unobserved into a '30s style apartment as the tenant leaves for a trip","0.0","-63.4370880127"
"the next morning , a dewy blonde ( naomi watts ) from deep river , ontario , arrives in la with dreams of stardom in her suitcase  elena harring and particularly naomi watts are gifted actresses , effectively making the subtle switch","0.0","-10.1246089935"
"meanwhile , a hotshot director ( justin theroux ) , whose wife is in bed with the poolman , is forced to cast a certain actress in his new film and there's an assassin ( mark pellegrino ) roaming the city","0.0","-38.0402297974"
"meanwhile , a hotshot director ( justin theroux ) , whose wife is in bed with the poolman , is forced to cast a certain actress in his new film and there's an assassin ( mark pellegrino ) roaming the city","0.0","-38.0402297974"
"dancer ann miller who's stiff and self conscious , speaking   like most lynch players   in staccato tones","0.0","-45.2946243286"
"mel , played by mark wahlberg in a dopey , milquetoast role , is a killing machine   he flips , spins , even breakdances whilst popping caps","0.0","-85.0845794678"
"bruce willis stars as harry stamper , a famed oil driller commissioned by the white house and nasa to stop a giant asteroid before it travels beyond   zero barrier   and destroys our planet  willis has barely a chance to come alive   ditto for affleck  so why did they bring him up there to begin with ?","0.0","-119.258270264"
"rather , why write him into the film ?","0.0","-74.2248001099"
"give his almost witty one liners to serious willis , who scowls and mopes and demonstrates psychotic tendencies   at one point he chases after affleck with his shotgun for screwing his daughter , firing often and causing significant damage to his oil rig","0.0","-86.1472473145"
